Category,Name,Price,Description
Veg Items,Stovetop Expresso,130,Aconcentrated dose of coffee brewed on a Moka pot over a stovetop with focus on temperatures.
Veg Items,Filter Coffee Decoction,80,Adecoction shot of Tamima Filter coffee in the traditional commercial brewing equipment.
Veg Items,Americano,145,An expresso shot (Zest) , filter coffee with hot water.
Veg Items,Pour Over,165,Coffee brewed by pouring hot water over extract an easy on the palette black coffee.
Veg Items,French Pressed Coffee,165,Brewing of coffee takes place by pouring hot grounds of coffee and plunging the same.
